partition,partArray,lossDifference
"Dict{Integer, Integer}(5 => 5, 16 => 7, 7 => 2, 20 => 8, 12 => 5, 8 => 7, 17 => 2, 1 => 1, 19 => 1, 4 => 4, 6 => 6, 13 => 9, 2 => 2, 10 => 8, 11 => 9, 9 => 5, 15 => 8, 18 => 6, 14 => 10, 3 => 3)","Vector{Any}[[1, 19], [7, 17, 2], [3], [4], [5, 12, 9], [6, 18], [16, 8], [20, 10, 15], [13, 11], [14]]",0.0
"Dict{Integer, Integer}(5 => 3, 16 => 10, 7 => 4, 20 => 10, 12 => 5, 8 => 5, 17 => 8, 1 => 1, 19 => 9, 4 => 1, 6 => 4, 13 => 8, 2 => 1, 10 => 6, 11 => 7, 9 => 1, 15 => 9, 18 => 1, 14 => 6, 3 => 2)","Vector{Any}[[1, 4, 2, 9, 18], [3], [5], [7, 6], [12, 8], [10, 14], [11], [17, 13], [19, 15], [16, 20]]",0.0031185522996262025
