partition,partArray
"Dict{Integer, Integer}(5 => 1, 56 => 2, 35 => 3, 55 => 4, 60 => 5, 30 => 6, 32 => 7, 6 => 8, 67 => 9, 45 => 10, 73 => 11, 64 => 12, 90 => 13, 4 => 14, 13 => 15, 54 => 16, 63 => 17, 86 => 2, 91 => 18, 62 => 3, 58 => 19, 52 => 4, 12 => 20, 28 => 21, 75 => 22, 23 => 13, 92 => 1, 41 => 23, 43 => 23, 11 => 24, 36 => 25, 68 => 10, 69 => 13, 98 => 26, 82 => 18, 85 => 16, 39 => 27, 84 => 3, 77 => 3, 7 => 18, 25 => 28, 95 => 14, 71 => 24, 66 => 29, 76 => 14, 34 => 30, 50 => 25, 59 => 31, 93 => 31, 2 => 8, 10 => 32, 18 => 19, 26 => 33, 27 => 4, 42 => 34, 87 => 11, 100 => 35, 79 => 36, 16 => 33, 20 => 36, 81 => 12, 19 => 37, 49 => 17, 44 => 15, 9 => 24, 31 => 19, 74 => 1, 61 => 38, 29 => 39, 94 => 40, 46 => 15, 57 => 41, 70 => 35, 21 => 9, 38 => 7, 88 => 42, 78 => 43, 72 => 25, 24 => 41, 8 => 24, 17 => 38, 37 => 44, 1 => 45, 53 => 13, 22 => 46, 47 => 9, 83 => 47, 99 => 15, 89 => 48, 14 => 30, 3 => 46, 80 => 38, 96 => 49, 51 => 33, 33 => 24, 40 => 6, 48 => 16, 15 => 28, 65 => 50, 97 => 29)","Vector{Any}[[5, 92, 74], [56, 86], [35, 62, 84, 77], [55, 52, 27], [60], [30, 40], [32, 38], [6, 2], [67, 21, 47], [45, 68], [73, 87], [64, 81], [90, 23, 69, 53], [4, 95, 76], [13, 44, 46, 99], [54, 85, 48], [63, 49], [91, 82, 7], [58, 18, 31], [12], [28], [75], [41, 43], [11, 71, 9, 8, 33], [36, 50, 72], [98], [39], [25, 15], [66, 97], [34, 14], [59, 93], [10], [26, 16, 51], [42], [100, 70], [79, 20], [19], [61, 17, 80], [29], [94], [57, 24], [88], [78], [37], [1], [22, 3], [83], [89], [96], [65]]"
"Dict{Integer, Integer}(5 => 1, 56 => 2, 35 => 3, 55 => 4, 60 => 5, 30 => 6, 32 => 7, 6 => 8, 67 => 9, 45 => 10, 73 => 11, 64 => 12, 90 => 13, 4 => 5, 13 => 6, 54 => 14, 63 => 15, 86 => 16, 91 => 17, 62 => 6, 58 => 18, 52 => 6, 12 => 10, 28 => 19, 75 => 20, 23 => 21, 92 => 22, 41 => 3, 43 => 7, 11 => 23, 36 => 19, 68 => 16, 69 => 24, 98 => 25, 82 => 26, 85 => 27, 39 => 13, 84 => 28, 77 => 29, 7 => 30, 25 => 31, 95 => 29, 71 => 30, 66 => 32, 76 => 15, 34 => 4, 50 => 21, 59 => 1, 93 => 33, 2 => 34, 10 => 21, 18 => 25, 26 => 27, 27 => 5, 42 => 4, 87 => 35, 100 => 14, 79 => 11, 16 => 17, 20 => 26, 81 => 5, 19 => 36, 49 => 33, 44 => 7, 9 => 37, 31 => 38, 74 => 3, 61 => 3, 29 => 39, 94 => 40, 46 => 41, 57 => 42, 70 => 43, 21 => 44, 38 => 29, 88 => 45, 78 => 12, 72 => 25, 24 => 46, 8 => 47, 17 => 34, 37 => 48, 1 => 2, 53 => 36, 22 => 1, 47 => 9, 83 => 7, 99 => 49, 89 => 12, 14 => 10, 3 => 30, 80 => 16, 96 => 50, 51 => 23, 33 => 28, 40 => 41, 48 => 48, 15 => 10, 65 => 29, 97 => 46)","Vector{Any}[[5, 59, 22], [56, 1], [35, 41, 74, 61], [55, 34, 42], [60, 4, 27, 81], [30, 13, 62, 52], [32, 43, 44, 83], [6], [67, 47], [45, 12, 14, 15], [73, 79], [64, 78, 89], [90, 39], [54, 100], [63, 76], [86, 68, 80], [91, 16], [58], [28, 36], [75], [23, 50, 10], [92], [11, 51], [69], [98, 18, 72], [82, 20], [85, 26], [84, 33], [77, 95, 38, 65], [7, 71, 3], [25], [66], [93, 49], [2, 17], [87], [19, 53], [9], [31], [29], [94], [46, 40], [57], [70], [21], [88], [24, 97], [8], [37, 48], [99], [96]]"
"Dict{Integer, Integer}(5 => 1, 56 => 2, 35 => 3, 55 => 4, 60 => 5, 30 => 6, 32 => 7, 6 => 5, 67 => 8, 45 => 9, 73 => 10, 64 => 11, 90 => 12, 4 => 13, 13 => 14, 54 => 15, 63 => 16, 86 => 17, 91 => 18, 62 => 11, 58 => 7, 52 => 19, 12 => 20, 28 => 21, 75 => 22, 23 => 23, 92 => 24, 41 => 3, 43 => 5, 11 => 4, 36 => 25, 68 => 26, 69 => 27, 98 => 28, 82 => 29, 85 => 7, 39 => 30, 84 => 16, 77 => 8, 7 => 1, 25 => 27, 95 => 31, 71 => 17, 66 => 32, 76 => 33, 34 => 7, 50 => 34, 59 => 35, 93 => 36, 2 => 21, 10 => 4, 18 => 30, 26 => 23, 27 => 37, 42 => 38, 87 => 20, 100 => 28, 79 => 2, 16 => 39, 20 => 18, 81 => 38, 19 => 40, 49 => 41, 44 => 22, 9 => 33, 31 => 42, 74 => 43, 61 => 31, 29 => 19, 94 => 4, 46 => 4, 57 => 27, 70 => 44, 21 => 39, 38 => 45, 88 => 46, 78 => 15, 72 => 23, 24 => 31, 8 => 31, 17 => 13, 37 => 2, 1 => 47, 53 => 8, 22 => 48, 47 => 2, 83 => 29, 99 => 44, 89 => 48, 14 => 18, 3 => 42, 80 => 7, 96 => 46, 51 => 39, 33 => 14, 40 => 19, 48 => 30, 15 => 49, 65 => 50, 97 => 34)","Vector{Any}[[5, 7], [56, 79, 37, 47], [35, 41], [55, 11, 10, 94, 46], [60, 6, 43], [30], [32, 58, 85, 34, 80], [67, 77, 53], [45], [73], [64, 62], [90], [4, 17], [13, 33], [54, 78], [63, 84], [86, 71], [91, 20, 14], [52, 29, 40], [12, 87], [28, 2], [75, 44], [23, 26, 72], [92], [36], [68], [69, 25, 57], [98, 100], [82, 83], [39, 18, 48], [95, 61, 24, 8], [66], [76, 9], [50, 97], [59], [93], [27], [42, 81], [16, 21, 51], [19], [49], [31, 3], [74], [70, 99], [38], [88, 96], [1], [22, 89], [15], [65]]"
