partition,partArray,lossDifference
"Dict{Integer, Integer}(5 => 4, 16 => 5, 7 => 5, 20 => 6, 12 => 3, 8 => 5, 17 => 5, 1 => 1, 19 => 10, 4 => 4, 6 => 4, 13 => 7, 2 => 2, 10 => 3, 11 => 6, 9 => 3, 15 => 9, 18 => 5, 14 => 8, 3 => 3)","Vector{Any}[[1], [2], [12, 10, 9, 3], [5, 4, 6], [16, 7, 8, 17, 18], [20, 11], [13], [14], [15], [19]]",0.0
"Dict{Integer, Integer}(5 => 5, 16 => 7, 7 => 2, 20 => 2, 12 => 4, 8 => 3, 17 => 8, 1 => 1, 19 => 6, 4 => 4, 6 => 2, 13 => 8, 2 => 2, 10 => 6, 11 => 7, 9 => 2, 15 => 10, 18 => 8, 14 => 9, 3 => 3)","Vector{Any}[[1], [7, 20, 6, 2, 9], [8, 3], [12, 4], [5], [19, 10], [16, 11], [17, 13, 18], [14], [15]]",0.0005000868294406449
