x,y
200,4.616017012
400,4.704275715
600,4.7469238605
800,4.6241075275
1000,4.5018065499999995
1200,1.795694976
1400,1.549280178
1600,2.2695173889999998
1800,2.3091627455
2000,2.3505126765
2200,2.5468587825
2400,2.8255566985
2600,3.0070253425
2800,3.496536628
3000,3.6278017545
3200,3.9665751580000004
3400,4.2309384004999995
3600,4.5018065499999995
3800,4.6241075275
4000,4.7469238605
4200,4.8754827485
4400,5.0522505155
4600,5.2197296705
4800,5.342723438
5000,5.8732189765000005
5200,6.646177483
5400,6.8243111775
5600,7.290150425
5800,7.6772462435
6000,8.145586934499999
6200,8.7544342755
6400,9.362248349
6600,9.5678245225
6800,9.661539717
7000,10.3793274705
7200,11.1670883185
7400,11.759082239
7600,12.0238762755
7800,12.4113233515
8000,13.7113179075
8200,16.276399198
8400,16.713058975000003
8600,18.690854103
8800,19.969577467500002
9000,20.879556460499998
9200,23.6237174225
9400,24.784369205
9600,26.110672207500002
9800,27.078974709500002
10000,27.5444165745
10200,28.580397800500002
10400,30.3364102615
10600,31.765210688499998
10800,33.0770509595
11000,33.546824121499995
11200,35.3047504465
11400,36.390475942500004
11600,37.3865303525
11800,37.908145304
12000,39.2574968535
12200,41.825930026500004
12400,42.318673425499995
12600,47.3032587855
12800,49.8762529305
13000,52.1217595965
13200,53.000918722
13400,54.461954299
13600,55.3212382525
13800,57.3013541475
14000,57.5151474975
14200,58.3889576455
14400,60.436195016499994
14600,61.6073564835
14800,63.469808389
15000,65.925692973
15200,68.2492441685
15400,69.46217875650001
15600,71.546478835
15800,72.2821908895
16000,73.893558622
16200,74.4637118035
16400,75.9910523025
16600,78.712205764
16800,81.9995834775
17000,86.84813530950001
17200,89.0784587415
17400,91.66000314600001
17600,93.7908290775
17800,94.33873976449999
18000,95.40893311350001
18200,96.8498785825
18400,99.8384180335
18600,101.43711680749999
18800,102.0668506505
19000,102.974968834
19200,107.476725555
19400,111.3491517185
19600,111.916384529
19800,112.3759308455
20000,113.45813687649999
