x,y
200,4.6213798795
400,4.705203657
600,4.6598317455
800,4.5393980979999995
1000,4.316129699499999
1200,1.6828782150000001
1400,1.962495803
1600,2.0935511555
1800,2.4960130375
2000,2.5862719194999997
2200,2.735098273
2400,3.0069882825
2600,3.1046469835
2800,3.4340780155
3000,3.8562753775000003
3200,4.173591814
3400,4.316129699499999
3600,4.5181723765
3800,4.581724972
4000,4.705203657
4200,4.950357062
4400,5.0096814169999995
4600,5.3971254185
4800,5.799372078
5000,6.0455467415
5200,6.279910693
5400,6.3788993435000005
5600,7.3358311515
5800,7.5201653115
6000,7.691792287
6200,8.431858424000001
6400,8.7166708705
6600,9.157501962000001
6800,9.7431085365
7000,10.023862956999999
7200,10.475296317
7400,10.8699252465
7600,12.0815116425
7800,12.361762259999999
8000,12.71044978
8200,14.2671721565
8400,17.23359183
8600,18.758600975
8800,21.124609493999998
9000,22.9342112955
9200,24.469046214000002
9400,25.272347084499998
9600,26.846775106000003
9800,27.502092921
10000,28.0722136335
10200,28.94763172
10400,29.8504301955
10600,32.0147039635
10800,33.055110772000006
11000,33.916837276500004
11200,35.4834098875
11400,37.1171666785
11600,39.744672888500006
11800,42.0658143775
12000,43.8506508945
12200,44.120774263
12400,46.1149832355
12600,48.491223111
12800,48.925725097
13000,49.6643458375
13200,50.477343734499996
13400,51.7981210585
13600,52.321315166
13800,52.596577544
14000,54.6858959505
14200,54.933193260500005
14400,55.103230496
14600,58.856954294
14800,59.9985939485
15000,60.947479827500004
15200,61.800198432
15400,63.775816504999995
15600,66.114618785
15800,66.576105247
16000,67.7481841435
16200,69.523075007
16400,72.648629874
16600,74.253126581
16800,75.8963056575
17000,77.4642507355
17200,83.434952745
17400,90.524352988
17600,94.394597413
17800,96.07242239
18000,96.890431187
18200,102.031927534
18400,102.333002799
18600,103.39995135449999
18800,105.2704009775
19000,109.262643683
19200,110.82982223799999
19400,112.2690696815
19600,113.88270595399999
19800,117.8468898065
20000,120.5270645205
