x,y
200,3.182015835
400,3.1958444085
600,3.3010475140000004
800,3.1409955380000003
1000,3.109898529
1200,1.3407914645
1400,1.447271886
1600,1.6105885144999998
1800,1.8090736045
2000,1.899799001
2200,2.2456293045
2400,2.3714181395000002
2600,2.961434836
2800,3.0661488969999997
3000,3.109898529
3200,3.1409955380000003
3400,3.2873786645000003
3600,3.4044936885
3800,3.5087431139999996
4000,3.639453883
4200,3.748424973
4400,3.86908091
4600,4.221849671499999
4800,4.7015507565
5000,4.966762159
5200,5.5343490635000006
5400,5.894396014
5600,6.1757827005
5800,6.376133781
6000,6.798722257
6200,7.0960189695
6400,7.5323200815
6600,8.0026399455
6800,8.4313148975
7000,9.2196114235
7200,10.0019045775
7400,11.2036818905
7600,11.7456590015
7800,12.01207703
8000,12.410002663
8200,12.92124442
8400,13.498773167
8600,14.032750841999999
8800,14.2529913845
9000,14.704119138500001
9200,15.139637796999999
9400,15.7966101625
9600,16.286892209
9800,16.8970179285
10000,17.440729609999998
10200,18.5771375085
10400,19.431892150499998
10600,19.6628242555
10800,19.8244929795
11000,20.647890750499997
11200,21.35003968
11400,22.064922564
11600,23.12775405
11800,24.422597174499998
12000,26.200564556
12200,27.695266167
12400,28.1744753865
12600,28.7318895475
12800,29.1654745955
13000,29.717171934
13200,30.407181968000003
13400,30.922941263
13600,31.486514059999998
13800,32.060966989
14000,32.854877664
14200,34.214313973
14400,36.123388422
14600,38.511584059499995
14800,39.2996414045
15000,40.893885991999994
15200,41.673877892
15400,42.4258705855
15600,43.948546063
15800,45.967276743499994
16000,47.607102209000004
16200,49.376559699
16400,49.9617799945
16600,50.9844368175
16800,53.274518184
17000,55.620160033000005
17200,59.6958129555
17400,61.0963605505
17600,62.039551939
17800,63.5040328245
18000,65.72484877900001
18200,67.6362770755
18400,72.19421818500001
18600,77.59860533049999
18800,78.97028329700001
19000,80.7898476405
19200,82.58002366150001
19400,83.501296268
19600,83.727919579
19800,84.1939949715
20000,85.219907118
