x,y
100,58.5123607225
150,58.6529108335
200,58.6529108335
250,58.295986106499996
300,57.1347078235
350,56.955678843
400,56.62650707
450,50.823562903500004
500,43.862543494
550,41.661345011
600,15.522075108500001
650,15.0891201705
700,11.979652888
750,11.395257984
800,11.362599880000001
850,11.188416968
900,11.295386006000001
950,11.362599880000001
1000,11.4627924465
1050,11.594596231499999
1100,11.825902779
1150,12.107154357
1200,12.878187458500001
1250,13.483995975500001
1300,14.447937021000001
1350,15.0891201705
1400,15.308712902
1450,15.4388795605
1500,15.9501527425
