x,y,z,partition,partitionArray
0.31832984371782286,0.4447505675269692,0.021851183795122874,"Dict{Integer, Integer}(5 => 2, 16 => 5, 7 => 5, 20 => 10, 12 => 7, 8 => 2, 17 => 7, 1 => 1, 19 => 10, 4 => 4, 6 => 3, 13 => 9, 2 => 2, 10 => 7, 11 => 8, 9 => 6, 15 => 9, 18 => 8, 14 => 3, 3 => 3)","Vector{Any}[[1], [5, 8, 2], [6, 14, 3], [4], [16, 7], [9], [12, 17, 10], [11, 18], [13, 15], [20, 19]]"
0.35942329365575193,0.31565157378772085,0.022038593826555573,"Dict{Integer, Integer}(5 => 3, 16 => 3, 7 => 5, 20 => 10, 12 => 5, 8 => 6, 17 => 4, 1 => 1, 19 => 10, 4 => 3, 6 => 4, 13 => 6, 2 => 1, 10 => 2, 11 => 8, 9 => 7, 15 => 9, 18 => 8, 14 => 2, 3 => 2)","Vector{Any}[[1, 2], [10, 14, 3], [5, 16, 4], [17, 6], [7, 12], [8, 13], [9], [11, 18], [15], [20, 19]]"
-0.5106176889869455,0.06999265354483065,0.024341480557801404,"Dict{Integer, Integer}(5 => 5, 16 => 3, 7 => 6, 20 => 2, 12 => 8, 8 => 1, 17 => 6, 1 => 1, 19 => 10, 4 => 4, 6 => 6, 13 => 4, 2 => 2, 10 => 7, 11 => 5, 9 => 6, 15 => 8, 18 => 9, 14 => 2, 3 => 3)","Vector{Any}[[8, 1], [20, 2, 14], [16, 3], [4, 13], [5, 11], [7, 17, 6, 9], [10], [12, 15], [18], [19]]"
0.8155080573126615,0.06186960720952705,0.02256722292944467,"Dict{Integer, Integer}(5 => 5, 16 => 5, 7 => 6, 20 => 4, 12 => 9, 8 => 4, 17 => 5, 1 => 1, 19 => 4, 4 => 4, 6 => 4, 13 => 10, 2 => 2, 10 => 8, 11 => 2, 9 => 7, 15 => 10, 18 => 4, 14 => 1, 3 => 3)","Vector{Any}[[1, 14], [2, 11], [3], [20, 8, 19, 4, 6, 18], [5, 16, 17], [7], [9], [10], [12], [13, 15]]"
0.13272364757113045,0.1850149888039274,0.02329789031055403,"Dict{Integer, Integer}(5 => 1, 16 => 8, 7 => 6, 20 => 10, 12 => 3, 8 => 1, 17 => 9, 1 => 1, 19 => 1, 4 => 4, 6 => 5, 13 => 4, 2 => 2, 10 => 8, 11 => 3, 9 => 7, 15 => 6, 18 => 10, 14 => 3, 3 => 3)","Vector{Any}[[5, 8, 1, 19], [2], [12, 11, 14, 3], [4, 13], [6], [7, 15], [9], [16, 10], [17], [20, 18]]"
-0.5962681346160572,-0.4922442623322062,0.023244144536596508,"Dict{Integer, Integer}(5 => 3, 16 => 3, 7 => 2, 20 => 7, 12 => 7, 8 => 5, 17 => 2, 1 => 1, 19 => 10, 4 => 2, 6 => 4, 13 => 3, 2 => 2, 10 => 1, 11 => 6, 9 => 5, 15 => 9, 18 => 3, 14 => 8, 3 => 2)","Vector{Any}[[1, 10], [7, 17, 4, 2, 3], [5, 16, 13, 18], [6], [8, 9], [11], [20, 12], [14], [15], [19]]"
0.44812427351929934,-0.25414898137345077,0.02148753846937129,"Dict{Integer, Integer}(5 => 5, 16 => 2, 7 => 6, 20 => 4, 12 => 8, 8 => 7, 17 => 8, 1 => 1, 19 => 7, 4 => 4, 6 => 4, 13 => 6, 2 => 2, 10 => 7, 11 => 4, 9 => 2, 15 => 10, 18 => 7, 14 => 9, 3 => 3)","Vector{Any}[[1], [16, 2, 9], [3], [20, 4, 6, 11], [5], [7, 13], [8, 19, 10, 18], [12, 17], [14], [15]]"
-0.2713164184258853,-0.10913045061669108,0.023708727142185415,"Dict{Integer, Integer}(5 => 5, 16 => 10, 7 => 6, 20 => 10, 12 => 8, 8 => 7, 17 => 2, 1 => 1, 19 => 3, 4 => 4, 6 => 5, 13 => 4, 2 => 2, 10 => 8, 11 => 9, 9 => 1, 15 => 8, 18 => 4, 14 => 3, 3 => 3)","Vector{Any}[[1, 9], [17, 2], [19, 14, 3], [4, 13, 18], [5, 6], [7], [8], [12, 10, 15], [11], [16, 20]]"
-0.02661784471089156,-0.32607869625238395,0.022588778095958353,"Dict{Integer, Integer}(5 => 5, 16 => 5, 7 => 6, 20 => 3, 12 => 8, 8 => 7, 17 => 9, 1 => 1, 19 => 6, 4 => 4, 6 => 2, 13 => 8, 2 => 2, 10 => 7, 11 => 5, 9 => 8, 15 => 5, 18 => 10, 14 => 2, 3 => 3)","Vector{Any}[[1], [6, 2, 14], [20, 3], [4], [5, 16, 11, 15], [7, 19], [8, 10], [12, 13, 9], [17], [18]]"
-0.18398747481176467,-0.10596432603137368,0.02174928741675642,"Dict{Integer, Integer}(5 => 3, 16 => 9, 7 => 4, 20 => 9, 12 => 2, 8 => 2, 17 => 4, 1 => 1, 19 => 6, 4 => 2, 6 => 3, 13 => 6, 2 => 2, 10 => 5, 11 => 3, 9 => 4, 15 => 8, 18 => 10, 14 => 7, 3 => 1)","Vector{Any}[[1, 3], [12, 8, 4, 2], [5, 6, 11], [7, 17, 9], [10], [19, 13], [14], [15], [16, 20], [18]]"
